frase,sentimento
Sinto-me triste por não poder fazer mais,tristeza
Estou me sentindo desanimado com tudo isso que está acontecendo,tristeza
Às vezes a tristeza vem sem motivo,tristeza
Estou triste por não poder resolver isso,tristeza
A solidão machuca,tristeza
Estou triste por não poder te ver,tristeza
Sinto-me desencantado com as perspectivas,tristeza
Estou triste por não poder estar lá,tristeza
Às vezes a tristeza é como um fardo,tristeza
Estou triste por não poder estar aí para você,tristeza
Sinto-me em um ciclo de dor,tristeza
Estou vazio por dentro,tristeza
Estou me sentindo desconsolado com essa situação,tristeza
Sinto-me em um deserto sem fim,tristeza
A tristeza parece me acompanhar,tristeza
Às vezes a tristeza é como uma tempestade,tristeza
Estou em um mar revolto,tristeza
Às vezes a tristeza parece não ter fim,tristeza
Não consigo sorrir,tristeza
Estou triste por não poder consertar isso para você,tristeza
Estou triste por não poder compartilhar isso,tristeza
Estou triste por não poder estar aí,tristeza
Às vezes a tristeza é como um rio sem fim,tristeza
Sinto-me melancólico por dentro,tristeza
Sinto-me melancólico hoje,tristeza
Sinto-me em um terreno instável,tristeza
Sinto-me só,tristeza
Estou em uma jornada solitária,tristeza
Às vezes a tristeza é avassaladora,tristeza
Sinto-me desamparado,tristeza
Sinto-me nostálgico pelas lembranças do passado,tristeza
As lágrimas caem,tristeza
Estou triste por não poder te ver,tristeza
Estou em um oceano de lágrimas,tristeza
Estou em um vale de desolação,tristeza
Estou triste por não poder fazer mais,tristeza
Estou em um deserto de emoções,tristeza
Estou em um beco sem saída,tristeza
Sinto-me em um mundo cinza,tristeza
Sinto-me nostálgico pelas lembranças antigas,tristeza
A dor é lancinante,tristeza
Sinto-me em um campo minado,tristeza
A tristeza é como um furacão,tristeza
Sinto-me desencantado com a vida,tristeza
Estou triste por não poder fazer mais,tristeza
A dor é como um terremoto,tristeza
A dor é como uma sombra,tristeza
Sinto-me desalentado,tristeza
Estou em uma escuridão profunda,tristeza
Às vezes a tristeza é como um peso,tristeza
Estou me sentindo desencantado,tristeza
Estou em um vale de desolação,tristeza
Estou me sentindo desolado,tristeza
Sinto-me triste por não poder ajudar,tristeza
Estou em um precipício emocional,tristeza
Sinto-me em um desamparo total,tristeza
Estou em um deserto emocional,tristeza
Sinto-me nostálgico pelas lembranças antigas,tristeza
Estou me sentindo desiludido,tristeza
Sinto-me para baixo,tristeza
Às vezes a tristeza toma conta de mim,tristeza
Estou me sentindo sozinho hoje,tristeza
Estou me sentindo desmotivado para tudo,tristeza
Estou em um mar de desespero,tristeza
Estou me sentindo desanimado com tudo isso,tristeza
Às vezes a tristeza é como uma ferida que não cicatriza,tristeza
Sinto-me em um vale de lágrimas,tristeza
As lágrimas não cessam,tristeza
Sinto-me em um buraco negro emocional,tristeza
Às vezes a tristeza é como um labirinto,tristeza
O desespero é palpável,tristeza
Estou triste por não poder consertar isso para você,tristeza
Sinto-me um prisioneiro,tristeza
Sinto-me triste por não poder fazer mais,tristeza
Sinto-me triste por não poder fazer mais,tristeza
Estou em uma tempestade,tristeza
Sinto-me desamparado diante disso,tristeza
Às vezes a tristeza é difícil de suportar,tristeza
Estou triste por não poder superar isso,tristeza
Às vezes a tristeza é como um rio sem fim,tristeza
Sinto-me desencantado com as perspectivas,tristeza
Sinto-me nostálgico pelas lembranças do passado,tristeza
Não consigo evitar essa sensação de tristeza,tristeza
Às vezes a tristeza é como um labirinto,tristeza
Às vezes a tristeza toma conta de mim,tristeza
Às vezes a tristeza parece não ter fim,tristeza
Estou triste por não poder superar isso,tristeza
A tristeza é profunda,tristeza
Estou triste por não poder compartilhar isso com você,tristeza
Às vezes a tristeza é paralisante,tristeza
A tristeza parece me acompanhar,tristeza
Estou em um labirinto emocional,tristeza
Sinto-me desesperado por dentro,tristeza
estou cansado,tristeza
estou exausto,tristeza
Sinto falta de você,tristeza
Estou me sentindo desiludido com as pessoas,tristeza
Estou em um vale sombrio,tristeza
A dor é como um terremoto,tristeza
Sinto-me desencantado com a vida,tristeza
Estou me sentindo desolado,tristeza
Sinto-me em um desfiladeiro,tristeza
Estou em uma viagem sem volta,tristeza
O desânimo é grande,tristeza
Sinto-me desencantado com as circunstâncias,tristeza
Às vezes a tristeza é como um buraco negro,tristeza
Estou triste por não poder resolver isso,tristeza
Estou me sentindo desanimado com tudo isso que está acontecendo,tristeza
Estou em um terreno pantanoso,tristeza
A vida perdeu o sentido,tristeza
Estou em uma viagem sem volta,tristeza
Às vezes a tristeza é avassaladora,tristeza
Às vezes a tristeza é como um rio sem fim,tristeza
Sinto-me em um cemitério de esperanças,tristeza
Estou triste,tristeza
Estou triste por não poder te abraçar agora,tristeza
Não consigo evitar essa sensação de tristeza,tristeza
Sinto-me triste por não poder ajudar,tristeza
Sinto-me desencantado com a vida,tristeza
Sinto-me em um mundo cinza,tristeza
Estou em um terreno pantanoso,tristeza
Estou triste por não poder compartilhar isso com você,tristeza
Sinto-me em um desamparo total,tristeza
Sinto um vazio,tristeza
A saudade machuca,tristeza
Estou me sentindo desanimado com tudo isso que está acontecendo,tristeza
Estou triste por não poder consertar isso para você,tristeza
Às vezes a tristeza parece invencível,tristeza
Estou me sentindo desconsolado com essa situação,tristeza
Sinto-me desanimado ultimamente,tristeza
Às vezes a tristeza vem sem motivo,tristeza
Sinto-me nostálgico,tristeza
Às vezes a tristeza é como um labirinto,tristeza
Sinto-me em um campo minado,tristeza
Sinto-me um prisioneiro,tristeza
A dor é constante,tristeza
Sinto-me nostálgico,tristeza
Estou em um buraco,tristeza
Sinto-me para baixo,tristeza
Sinto-me em um desfiladeiro,tristeza
A tristeza é como um monstro,tristeza
Estou em um buraco,tristeza
Estou me sentindo desconsolado com essa perda,tristeza
Estou me sentindo abatido,tristeza
Estou vazio por dentro,tristeza
Estou triste por não poder te consolar,tristeza
Estou me sentindo sozinho hoje,tristeza
Às vezes a tristeza é como um labirinto,tristeza
Estou triste por não poder te abraçar,tristeza
Sinto-me em uma encruzilhada emocional,tristeza
Estou em um oceano de lágrimas,tristeza
A dor é dilacerante,tristeza
Sinto-me desamparado,tristeza
Sinto-me desiludido com tudo,tristeza
A tristeza é como um veneno,tristeza
A tristeza é como um veneno,tristeza
Estou em um poço sem fundo,tristeza
A dor é como uma ferida aberta,tristeza
Sinto-me em um terreno instável,tristeza
Sinto falta de você,tristeza
Estou em pedaços,tristeza
Às vezes a tristeza é como uma ferida que não cicatriza,tristeza
Estou com o coração partido,tristeza
Não consigo evitar essa sensação de tristeza,tristeza
Estou com o coração partido,tristeza
A dor é como um terremoto,tristeza
Estou em ruínas,tristeza
Sinto-me em um cemitério de esperanças,tristeza
Estou triste por não poder estar lá,tristeza
Sinto-me nostálgico,tristeza
Sinto-me em uma encruzilhada emocional,tristeza
Estou triste por não poder te ver,tristeza
A dor é como uma faca,tristeza
Sinto-me triste por não poder mudar isso,tristeza
O desânimo é grande,tristeza
Estou me sentindo desconsolado,tristeza
Estou triste por não poder te fazer sorrir hoje,tristeza
Estou triste por não poder te consolar,tristeza
Estou triste por não poder te abraçar,tristeza
Sinto-me em um ciclo de dor,tristeza
Sinto-me desamparado,tristeza
Sinto-me desiludido com tudo,tristeza
O desespero é palpável,tristeza
Sinto-me desprotegido,tristeza
Choro em silêncio,tristeza
Sinto-me só,tristeza
Às vezes a tristeza é como um rio sem fim,tristeza
Sinto-me melancólico hoje,tristeza
Estou em um túnel sem luz,tristeza
Estou em um vale sombrio,tristeza
O mundo desabou,tristeza
As lágrimas caem,tristeza
Sinto-me um prisioneiro,tristeza
Sinto-me em um cemitério de esperanças,tristeza
Sinto-me para baixo,tristeza
Sinto-me melancólico por dentro,tristeza
Estou em uma floresta escura,tristeza
Sinto-me nostálgico pelas lembranças antigas,tristeza
Sinto-me como um fantasma,tristeza
Sinto-me desamparado,tristeza
Estou em um terreno pantanoso,tristeza
Estou desanimado,tristeza
Sinto-me como um espetro,tristeza
Sinto-me nostálgico pelas lembranças,tristeza
Sinto-me em um vale de lágrimas,tristeza
Choro em silêncio,tristeza
Estou em um mar de lágrimas,tristeza
Estou em um labirinto,tristeza
Às vezes a tristeza parece não ter fim,tristeza
Sinto-me impotente,tristeza
Às vezes a tristeza parece invencível,tristeza
Estou triste por não poder fazer mais,tristeza
A tristeza é como uma sombra,tristeza
Estou me sentindo desolado,tristeza
A tristeza me consome,tristeza
Às vezes a tristeza é como um buraco negro,tristeza
Sinto-me desamparado,tristeza
A solidão machuca,tristeza
Às vezes a tristeza é como um labirinto,tristeza
Sinto falta de você,tristeza
Às vezes a tristeza parece não ter fim,tristeza
Sinto-me desamparado diante disso,tristeza
Estou me sentindo desconsolado por dentro,tristeza
Estou me sentindo desanimado com tudo isso,tristeza
A saudade machuca,tristeza
Às vezes a tristeza toma conta de mim,tristeza
Estou me sentindo desamparado por tudo,tristeza
Estou me sentindo desencorajado,tristeza
Sinto-me desalentado,tristeza
Estou me sentindo desanimado com as notícias,tristeza
Estou triste por não poder compartilhar isso com você,tristeza
Sinto-me um estranho,tristeza
Estou em um labirinto,tristeza
Sinto-me em um desespero infinito,tristeza
frase,tristeza
Sinto-me desiludido com tudo,tristeza
Sinto-me frágil,tristeza
Sinto-me desalentado,tristeza
Sinto-me desencantado com as circunstâncias,tristeza
Sinto-me em um cemitério de esperanças,tristeza
Estou em um deserto de emoções,tristeza
Sinto-me desesperado por dentro,tristeza
Às vezes a tristeza parece não ter fim,tristeza
Estou triste por não poder fazer mais,tristeza
Estou em uma escuridão profunda,tristeza
Estou triste por não poder consertar isso para você,tristeza
Às vezes a tristeza parece invencível,tristeza
Às vezes a tristeza toma conta de mim,tristeza
Às vezes a tristeza é como um vazio,tristeza
Estou triste por não poder te abraçar agora,tristeza
Estou em pedaços,tristeza
Às vezes a tristeza parece invencível,tristeza
As lágrimas não cessam,tristeza
Estou em um labirinto de tristeza,tristeza
Às vezes a tristeza é difícil de suportar,tristeza
Estou em uma encruzilhada,tristeza
Estou me sentindo desmotivado para tudo,tristeza
Estou me sentindo desanimado com essa perda,tristeza
Sinto um vazio,tristeza
Às vezes a tristeza é como uma ferida aberta,tristeza
Às vezes a tristeza é como uma escuridão,tristeza
Estou em um deserto emocional,tristeza
Às vezes a tristeza é como um peso,tristeza
Estou em uma escuridão profunda,tristeza
Às vezes a tristeza é difícil de suportar,tristeza
Estou triste por não poder te abraçar,tristeza
Estou em um mar de lágrimas,tristeza
Sinto-me desencantado com as circunstâncias,tristeza
Estou em um vale sombrio,tristeza
A dor é como uma ferida aberta,tristeza
A melancolia é constante,tristeza
Estou em um abismo emocional,tristeza
Estou me sentindo desconsolado com essa perda,tristeza
Estou em um poço sem fundo,tristeza
Sinto-me abandonado,tristeza
Às vezes a tristeza é como uma ferida aberta,tristeza
A esperança se esvai,tristeza
Estou em um precipício emocional,tristeza
Estou me sentindo desencantado,tristeza
Estou me sentindo deprimido,tristeza
O coração aperta,tristeza
Sinto-me desencantado com as circunstâncias,tristeza
A escuridão me envolve,tristeza
Estou triste por não poder te fazer entender,tristeza
Estou triste por não poder estar aí para você,tristeza
Sinto-me nostálgico pelas lembranças,tristeza
Sinto-me triste por não poder ajudar,tristeza
Estou triste por não poder te abraçar,tristeza
A tristeza é como uma sombra,tristeza
Estou triste por não poder estar lá,tristeza
Estou em um poço sem fundo,tristeza
Às vezes a tristeza é como uma ferida aberta,tristeza
Estou triste por não poder compartilhar isso com você,tristeza
Estou triste por não poder te fazer entender,tristeza
Às vezes a tristeza parece não ter fim,tristeza
Estou me sentindo desmotivado,tristeza
Estou me sentindo sozinho hoje,tristeza
Estou triste por não poder estar lá,tristeza
Estou me sentindo desencantado,tristeza
Estou vazio por dentro,tristeza
Estou me sentindo desanimado com tudo isso que está acontecendo,tristeza
A dor é insuportável,tristeza
Às vezes a tristeza parece invencível,tristeza
Sinto-me nostálgico,tristeza
Sinto-me em uma caverna escura,tristeza
Estou triste por não poder compartilhar isso com você,tristeza
Às vezes a tristeza é como um vazio,tristeza
Estou me sentindo desconsolado com essa perda,tristeza
frase,tristeza
Às vezes a tristeza é como uma escuridão,tristeza
Sinto-me desencantado com as perspectivas,tristeza
Às vezes a tristeza parece invencível,tristeza
Estou em um precipício emocional,tristeza
Estou sem esperança,tristeza
Estou triste por não poder te fazer entender,tristeza
A alma está em frangalhos,tristeza
Estou triste por não poder te fazer entender,tristeza
Sinto-me desesperado por dentro,tristeza
Estou me sentindo desamparado por tudo,tristeza
Estou triste por não poder te confortar,tristeza
A tristeza é como uma sombra,tristeza
O coração está em pedaços,tristeza
Estou em um deserto de emoções,tristeza
Às vezes a tristeza parece esmagadora,tristeza
Às vezes a tristeza é como um peso,tristeza
Sinto-me em uma encruzilhada emocional,tristeza
Sinto-me desalentado,tristeza
Às vezes a tristeza é difícil de suportar,tristeza
Às vezes a tristeza toma conta de mim,tristeza
A dor é insuportável,tristeza
Estou me sentindo desconsolado por dentro,tristeza
Estou em um campo de batalha emocional,tristeza
Às vezes a tristeza toma conta de mim,tristeza
A solidão machuca,tristeza
Estou me sentindo desmotivado,tristeza
Estou em um oceano de lágrimas,tristeza
Estou triste por não poder estar aí para você,tristeza
Às vezes a tristeza é como uma ferida que não cicatriza,tristeza
O coração está em pedaços,tristeza
Estou me sentindo desconsolado por dentro,tristeza
Às vezes a tristeza é como um fardo,tristeza
Estou me sentindo desconsolado com essa perda,tristeza
Estou me sentindo desolado,tristeza
Sinto-me em um precipício emocional,tristeza
Sinto-me desiludido com tudo,tristeza
Às vezes a tristeza é avassaladora,tristeza
Às vezes a tristeza parece invencível,tristeza
A dor é dilacerante,tristeza
Estou triste por não poder te abraçar agora,tristeza
Sinto-me em um desespero infinito,tristeza
Estou me sentindo desamparado por tudo,tristeza
Estou me sentindo desmotivado para tudo,tristeza
Estou me sentindo desolado,tristeza
Sinto-me desesperado por dentro,tristeza
Sinto-me nostálgico,tristeza
A esperança se esvai,tristeza
Sinto-me em um mundo cinza,tristeza
Sinto-me desalentado,tristeza
Estou triste por não poder estar aí para segurar sua mão,tristeza
Estou em um oceano de lágrimas,tristeza
Estou me sentindo desconsolado com essa perda,tristeza
Sinto-me desencantado com a vida,tristeza
Às vezes a tristeza é como um peso,tristeza
Estou me sentindo sozinho hoje,tristeza
Sinto-me nostálgico pelas lembranças,tristeza
Estou triste por não poder estar aí para segurar sua mão,tristeza
Estou triste por causa das lembranças,tristeza
Estou me sentindo desamparado por tudo,tristeza
Estou me sentindo desanimado com tudo isso que está acontecendo,tristeza
O mundo desabou,tristeza
Sinto-me melancólico hoje,tristeza
Estou me sentindo desmotivado para tudo,tristeza
A saudade machuca,tristeza
Às vezes a tristeza é como uma ferida que não cicatriza,tristeza
Estou triste por não poder consertar isso para você,tristeza
Sinto-me um náufrago,tristeza
Sinto-me triste por não poder mudar isso,tristeza
A dor é intensa,tristeza
A escuridão me envolve,tristeza
Às vezes a tristeza é como uma escuridão,tristeza
O mundo parece cruel,tristeza
Estou em um terreno pantanoso,tristeza
Estou triste por não poder te ver,tristeza
Sinto-me em um cemitério de esperanças,tristeza
Às vezes a tristeza toma conta de mim,tristeza
Não vejo saída,tristeza
Sinto-me como uma sombra,tristeza
A vida perdeu o sentido,tristeza
Estou triste por não poder te confortar,tristeza
Estou triste por não poder te abraçar,tristeza
Estou com um aperto no coração,tristeza
Estou triste por não poder superar isso,tristeza
O desânimo é grande,tristeza
Às vezes a tristeza é como um vazio,tristeza
Estou triste por não poder estar aí para segurar sua mão,tristeza
Sinto-me impotente,tristeza
Estou me sentindo desanimado com tudo isso que está acontecendo,tristeza
Sinto-me só,tristeza
Estou me sentindo desanimado com tudo isso,tristeza
Estou me sentindo abatido,tristeza
Estou me sentindo desconsolado por dentro,tristeza
Às vezes a tristeza é difícil de suportar,tristeza
Sinto um vazio,tristeza
Sinto-me melancólico hoje,tristeza
Sinto-me como uma marionete,tristeza
Estou triste por não poder te fazer entender,tristeza
Sinto-me desencantado com a vida,tristeza
Sinto-me nostálgico,tristeza
Sinto-me desesperado,tristeza
Sinto-me desalentado,tristeza
Às vezes a tristeza é como um rio sem fim,tristeza
Sinto-me desencantado com a vida,tristeza
Sinto-me desencantado com a vida,tristeza
Estou desolado,tristeza
Sinto-me para baixo,tristeza
Sinto-me perdido,tristeza
A dor é como uma sombra,tristeza
A dor é como uma faca,tristeza
Às vezes a tristeza toma conta de mim,tristeza
Estou triste por não poder te fazer sorrir hoje,tristeza
O desespero é palpável,tristeza
Estou triste por não poder resolver isso,tristeza
Sinto-me desamparado diante disso,tristeza
Sinto-me incompleto,tristeza
Estou me sentindo desmotivado para continuar,tristeza
Estou com o coração partido,tristeza
A tristeza é como um vazio,tristeza
A vida é um fardo,tristeza
Estou em uma jornada solitária,tristeza
Sinto-me desencantado com a vida,tristeza
Estou afogando em tristeza,tristeza
Estou em um precipício emocional,tristeza
Às vezes a tristeza é como uma ferida aberta,tristeza
A dor é lancinante,tristeza
Estou triste por não poder estar aí para segurar sua mão,tristeza
Sinto-me para baixo,tristeza
Estou em um mar de lágrimas,tristeza
Estou triste por não poder te confortar,tristeza
Estou em um túnel sem luz,tristeza
A felicidade se foi,tristeza
Sinto-me desencantado com o mundo,tristeza
Estou me sentindo desconsolado por dentro,tristeza
Não consigo sorrir,tristeza
Sinto-me desamparado,tristeza
Sinto-me desanimado ultimamente,tristeza
A dor é como um terremoto,tristeza
Sinto um vazio,tristeza
Estou em uma floresta escura,tristeza
Estou triste por não poder resolver isso,tristeza
Estou em um túnel sem luz,tristeza
Estou em pedaços,tristeza
Sinto-me desencantado com as perspectivas,tristeza
Estou em um precipício emocional,tristeza
Sinto-me desesperado por dentro,tristeza
Estou vazio por dentro,tristeza
Estou em um terreno pantanoso,tristeza
Às vezes a tristeza é como uma ferida que não cicatriza,tristeza
Sinto-me desprotegido,tristeza
Estou triste por não poder te ver,tristeza
A dor é como uma sombra,tristeza
Estou triste por não poder consertar isso para você,tristeza
Estou me sentindo desolado,tristeza
Estou em uma floresta escura,tristeza
Estou me sentindo desmotivado para continuar lutando,tristeza
Estou em um abismo sem fundo,tristeza
Sinto-me em um buraco negro emocional,tristeza
Estou me sentindo desiludido,tristeza
Sinto-me como uma sombra,tristeza
Estou me sentindo desolado,tristeza
Estou me sentindo desconsolado com essa situação,tristeza
Estou triste por não poder compartilhar isso com você,tristeza
A solidão machuca,tristeza
Sinto-me nostálgico,tristeza
A escuridão me envolve,tristeza
Estou em uma encruzilhada,tristeza
Às vezes a tristeza é como uma ferida que não cicatriza,tristeza
Sinto-me desamparado diante disso,tristeza
Sinto-me em um vale de lágrimas,tristeza
Estou triste por não poder estar aí para segurar sua mão,tristeza
A esperança se esvai,tristeza
Estou em um deserto emocional,tristeza
A tristeza é como uma sombra,tristeza
Sinto-me como um fantasma,tristeza
Estou triste por não poder te abraçar,tristeza
Não consigo evitar essa sensação de tristeza,tristeza
Sinto-me para baixo,tristeza
Estou me sentindo desolado,tristeza
A tristeza é como uma sombra,tristeza
Às vezes a tristeza é como um labirinto,tristeza
Estou em um deserto de emoções,tristeza
Estou triste por não poder consertar isso para você,tristeza
Estou sem esperança,tristeza
Sinto-me melancólico por dentro,tristeza
Sinto-me em um ciclo de dor,tristeza
A dor é como uma ferida aberta,tristeza
Às vezes a tristeza é como um peso,tristeza
Estou em uma tempestade,tristeza
Estou em um abismo emocional,tristeza
A vida perdeu o encanto,tristeza
A melancolia é constante,tristeza
Às vezes a tristeza é como um buraco negro,tristeza
Às vezes a tristeza é como uma ferida que não cicatriza,tristeza
Sinto-me triste por não poder fazer mais,tristeza
Sinto-me desalentado,tristeza
A dor é como um fogo que queima,tristeza
Estou me sentindo desmotivado para continuar lutando,tristeza
Às vezes a tristeza é como um vazio,tristeza
Sinto-me nostálgico pelas lembranças do passado,tristeza
Sinto-me como uma sombra,tristeza
Às vezes a tristeza é como um buraco negro,tristeza
Às vezes a tristeza é difícil de suportar,tristeza
Às vezes a tristeza é paralisante,tristeza
A dor é insuportável,tristeza
A alma está em frangalhos,tristeza
A vida perdeu o sentido,tristeza
Sinto-me em um deserto sem fim,tristeza
Às vezes a tristeza é como uma tempestade,tristeza
Sinto-me nostálgico pelas lembranças,tristeza
Estou com um aperto no coração,tristeza
Sinto-me perdido,tristeza
A alma está dilacerada,tristeza
Estou triste por não poder te abraçar agora,tristeza
Estou me sentindo desanimado com tudo isso que está acontecendo,tristeza
O mundo desabou,tristeza
Estou me sentindo desencantado,tristeza
Estou em um deserto de emoções,tristeza
Estou me sentindo sozinho hoje,tristeza
Sinto-me em um ciclo de dor,tristeza
Estou me sentindo desmotivado para continuar,tristeza
Sinto um vazio,tristeza
Sinto-me como um fantasma,tristeza
Sinto-me em um deserto sem fim,tristeza
Sinto-me como um espetro,tristeza
A dor é como um fogo que queima,tristeza
Estou triste por não poder te fazer sorrir hoje,tristeza
Sinto-me deslocado,tristeza
O tempo não cura,tristeza
Estou triste por causa das lembranças,tristeza
Sinto-me em um deserto sem fim,tristeza
Estou me sentindo abatido,tristeza
As lágrimas não cessam,tristeza
Estou triste por não poder estar lá,tristeza
Sinto-me desprotegido,tristeza
Às vezes a tristeza é como um labirinto,tristeza
Sinto-me em um desfiladeiro,tristeza
Sinto-me desencantado com a vida,tristeza
A alma está em frangalhos,tristeza
Às vezes a tristeza é como uma tempestade,tristeza
Estou triste por não poder te fazer entender,tristeza
Estou me sentindo desconsolado por dentro,tristeza
Estou me sentindo desmotivado para continuar,tristeza
A tristeza é como uma sombra,tristeza
Estou me sentindo desiludido,tristeza
A tristeza é como um monstro,tristeza
Estou triste por não poder te fazer entender,tristeza
A angústia me sufoca,tristeza
Estou em uma encruzilhada,tristeza
Estou em um campo de batalha emocional,tristeza
Estou triste por não poder te fazer sorrir hoje,tristeza
A escuridão me envolve,tristeza
Estou triste por não poder estar lá,tristeza
Às vezes a tristeza é como uma ferida que não cicatriza,tristeza
Às vezes a tristeza é como uma ferida aberta,tristeza
Estou me sentindo desanimado com tudo isso,tristeza
Não vejo saída,tristeza
Não encontro consolo,tristeza
Sinto-me perdido,tristeza
Estou triste por não poder estar aí para você,tristeza
Estou desanimado,tristeza
Estou triste por não poder estar aí para segurar sua mão,tristeza
A vida perdeu o brilho,tristeza
Estou triste por não poder estar aí para segurar sua mão,tristeza
Sinto-me desamparado,tristeza
Sinto-me como um espetro,tristeza
Sinto-me triste por não poder mudar isso,tristeza
A dor é como uma faca,tristeza
Às vezes a tristeza é como uma ferida aberta,tristeza
A tristeza é como uma névoa densa,tristeza
Estou em um campo de batalha,tristeza
Estou em uma montanha de tristeza,tristeza
Estou me sentindo desconsolado,tristeza
Estou me sentindo desmotivado para continuar lutando,tristeza
Estou com o coração partido,tristeza
Estou me sentindo desconsolado por dentro,tristeza
Sinto-me nostálgico pelas lembranças,tristeza
Sinto-me um náufrago,tristeza
Não encontro consolo,tristeza
As lágrimas não cessam,tristeza
Estou triste por não poder te ajudar,tristeza
Sinto-me frágil,tristeza
Sinto-me deslocado,tristeza
Estou triste por não poder estar aí para segurar sua mão,tristeza
Às vezes a tristeza é como uma tempestade,tristeza
Estou triste por não poder fazer mais,tristeza
Estou me sentindo desiludido com tudo isso,tristeza
Estou em um buraco,tristeza
Estou triste por não poder consertar isso para você,tristeza
Estou triste por não poder resolver isso,tristeza
Estou me sentindo desmotivado,tristeza
Sinto-me em um mundo cinza,tristeza
Sinto um vazio,tristeza
Estou triste por não poder estar aí,tristeza
A dor é insuportável,tristeza
Às vezes a tristeza é como uma ferida aberta,tristeza
Estou me sentindo desiludido com as pessoas,tristeza
Estou me sentindo desconsolado com essa situação,tristeza
Estou triste por não poder te fazer entender,tristeza
Estou me sentindo desconsolado por dentro,tristeza
Estou me sentindo desmotivado para continuar lutando,tristeza
A escuridão me envolve,tristeza
Sinto-me desencantado com as circunstâncias,tristeza
Estou me sentindo desiludido com as pessoas,tristeza
Sinto-me desencantado com as circunstâncias,tristeza
Sinto-me triste por não poder mudar isso,tristeza
A dor é como uma faca,tristeza
Sinto-me melancólico hoje,tristeza
Estou desanimado,tristeza
A tristeza parece me acompanhar,tristeza
Sinto-me desiludido com tudo,tristeza
Estou triste por não poder superar isso,tristeza
Estou em um túnel sem luz,tristeza
Estou com o coração partido,tristeza
Sinto-me perdido,tristeza
Às vezes a tristeza toma conta de mim,tristeza
Estou em pedaços,tristeza
Às vezes a tristeza toma conta de mim,tristeza
Sinto-me desamparado,tristeza
Às vezes a tristeza toma conta de mim,tristeza
Estou triste por não poder te ajudar,tristeza
Sinto-me em uma caverna escura,tristeza
A dor é como uma faca,tristeza
A tristeza é como um monstro,tristeza
Às vezes a tristeza parece esmagadora,tristeza
Estou em um campo de batalha,tristeza
Estou me sentindo desmotivado para continuar,tristeza
A tristeza é como um monstro,tristeza
Estou em uma jornada solitária,tristeza
Estou me sentindo sozinho hoje,tristeza
Não consigo evitar essa sensação de tristeza,tristeza
Sinto-me em um desespero infinito,tristeza
A tristeza é como um monstro,tristeza
Sinto-me perdido,tristeza
Sinto-me desalentado,tristeza
Estou triste por não poder te abraçar agora,tristeza
A dor é lancinante,tristeza
Estou me sentindo desiludido com tudo isso,tristeza
Sinto-me um prisioneiro,tristeza
Estou em uma floresta escura,tristeza
Sinto-me em um ciclo de dor,tristeza
Às vezes a tristeza é como uma ferida que não cicatriza,tristeza
Estou me sentindo desmotivado para continuar lutando,tristeza
Sinto-me em uma encruzilhada emocional,tristeza
Às vezes a tristeza é como um vazio,tristeza
Estou com um aperto no coração,tristeza
Sinto uma alegria contagiante que se espalha como um vírus do bem para todos ao meu redor!,felicidade
Sinto uma gratidão imensa por tudo que tenho e isso me enche de felicidade!,felicidade
Estou transbordando de felicidade!,felicidade
Sinto-me tão sortudo por ter tanto para me alegrar!,felicidade
Hoje é o dia para agradecer por cada pequeno momento de felicidade que a vida me proporciona!,felicidade
Meu coração se enche de alegria só de pensar em todas as coisas maravilhosas que estão por vir!,felicidade
Nada pode ofuscar a luz da felicidade que brilha dentro de mim hoje!,felicidade
Agradeço por cada momento de felicidade!,felicidade
A felicidade está borbulhando dentro de mim!,felicidade
Meu coração se enche de felicidade só de lembrar o quanto sou abençoado!,felicidade
Sinto-me tão sortudo por ter tanto para me alegrar!,felicidade
Estou transbordando de alegria e não há como conter!,felicidade
Sinto uma energia positiva fluindo e só consigo sorrir!,felicidade
Hoje é o dia perfeito para encher o coração de alegria e espalhar sorrisos por aí!,felicidade
Sinto-me abençoado por tantas razões para sorrir!,felicidade
Meu coração está cheio de felicidade!,felicidade
Sinto-me como se estivesse voando nas asas da felicidade e da gratidão!,felicidade
Meu coração está transbordando de alegria e gratidão!,felicidade
Sinto-me tão sortudo por ter tanto para me alegrar!,felicidade
Nada pode tirar meu sorriso hoje!,felicidade
A felicidade está estampada em meu rosto!,felicidade
Felicidade é encontrar beleza em cada aspecto da vida!,felicidade
Nada pode perturbar minha paz interior hoje!,felicidade
Sinto uma alegria imensa por cada pequeno momento de felicidade que vivo!,felicidade
Estou radiante como um raio de sol neste dia incrivelmente feliz!,felicidade
Sinto-me como se estivesse nadando em um mar de felicidade e gratidão!,felicidade
Nunca subestime o poder de um sorriso genuíno!,felicidade
Cada novo amanhecer é uma nova oportunidade para ser feliz e aproveitar a vida!,felicidade
Meu coração está transbordando de alegria e emoção!,felicidade
Este é o tipo de dia que me faz sorrir do nada!,felicidade
Este é o tipo de dia que me faz sentir grato por estar vivo!,felicidade
Nada pode deter a felicidade que transborda do meu ser e preenche o mundo com amor!,felicidade
Não consigo conter minha felicidade!,felicidade
Que dia incrível para ser feliz!,felicidade
Meu coração bate no ritmo da felicidade que permeia este dia maravilhoso!,felicidade
Meu coração se enche de felicidade só de lembrar o quanto sou abençoado!,felicidade
Cada novo amanhecer é uma nova oportunidade para ser feliz e aproveitar a vida!,felicidade
Meu coração está cheio de alegria e amor!,felicidade
